question_ru,answer_ru
Как оформить заказ?,"Перейдите на сайт, выберите товар и нажмите кнопку 'Купить'."
Какие способы оплаты доступны?,"Вы можете оплатить картой, через СБП или электронными кошельками."
Можно ли оплатить при получении?,"Да, оплата при получении доступна для некоторых регионов."
Как узнать статус заказа?,Статус заказа можно проверить в личном кабинете.
"Что делать, если заказ не пришёл?","Свяжитесь с поддержкой, указав номер заказа."
Как изменить адрес доставки?,Адрес можно изменить до момента отгрузки из нашего склада.
Можно ли отменить заказ?,"Да, вы можете отменить заказ до его упаковки."
Как получить скидку?,Используйте промокод или участвуйте в акциях.
Где найти информацию о товарах?,Вся информация представлена на странице товара.
Какие сроки доставки?,Средний срок доставки — 2–4 рабочих дня.
Можно ли выбрать курьера?,Выбор курьерской службы зависит от региона доставки.
Что входит в гарантию?,Гарантия покрывает заводской брак и дефекты.
Как вернуть товар?,Вы можете вернуть товар в течение 14 дней при сохранении упаковки.
Как обменять товар?,Обмен производится при наличии чека и сохранности товара.
Что делать при браке?,Свяжитесь с поддержкой и приложите фото дефекта.
Как работает программа лояльности?,Вы накапливаете баллы за покупки и используете их для скидок.
Как начисляются бонусы?,1 бонус начисляется за каждые потраченные 100 рублей.
Можно ли использовать промокод?,"Да, введите промокод в корзине при оформлении заказа."
Как связаться с поддержкой?,Вы можете написать в чат или позвонить по горячей линии.
Работаете ли вы в выходные?,"Да, мы обрабатываем заказы и по выходным."
Есть ли самовывоз?,"Да, вы можете выбрать самовывоз из пункта выдачи."
Как получить чек?,Чек отправляется на e-mail после оплаты.
Можно ли заказать в другой город?,"Да, мы доставляем по всей России."
Как отменить подписку?,В настройках профиля отключите подписку на рассылку.
Поддерживаются ли корпоративные заказы?,"Да, мы работаем с юрлицами и ИП."
Как оставить отзыв?,Отзывы можно оставить на странице товара.
Где находится мой заказ?,Проверьте трек-номер в личном кабинете.
Какие есть ограничения по весу?,Ограничение по весу — до 30 кг на одну посылку.
Как упаковываются товары?,Товары упаковываются с учётом хрупкости и стандартов логистики.
Безопасна ли оплата на сайте?,"Да, все платежи проходят через защищённый шлюз."
